route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.11.1,1.11.H2133,1.11.10424154,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424184,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424186,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424190,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424192,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424194,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424196,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424200,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424202,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424206,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424210,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424212,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424216,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424218,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424220,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424222,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424226,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424228,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424232,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424234,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424236,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424238,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424240,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424242,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424244,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424246,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424248,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424250,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424252,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424738,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424740,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424742,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424744,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424746,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424748,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424750,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424752,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424754,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424756,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424760,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424762,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424764,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424766,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424770,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2135,1.11.10424772,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2134,1.11.10424304,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424306,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424308,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424310,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424312,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424314,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424316,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424318,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424320,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424322,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424324,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424326,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424328,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424330,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424332,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424334,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424338,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424342,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424344,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424348,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424350,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424354,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424358,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424360,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424364,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424366,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424368,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424370,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424374,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424376,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424380,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424384,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424386,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424388,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424390,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424392,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424394,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424396,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424398,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424400,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424382,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424402,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424404,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424406,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424408,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424410,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424412,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424414,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424418,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424422,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424424,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424428,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424430,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2133,1.11.10424254,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2133,1.11.10424256,"Trinitat Nova",1,1.11.1100.2,1
1.11.1,1.11.H2134,1.11.10424258,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424260,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424262,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424264,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424266,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424268,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424270,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424272,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424274,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424276,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424278,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424280,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424282,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424286,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424290,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424292,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424296,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424298,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424300,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424302,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424434,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424436,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424438,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424440,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424442,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424444,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424446,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424448,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424450,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424452,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424454,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424456,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424458,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424460,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424462,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424466,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424468,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424470,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424472,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424476,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424478,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424482,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424484,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424486,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424488,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424492,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424494,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424498,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424502,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424504,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424508,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424510,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424514,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424516,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424518,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424520,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424522,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424523,"Can Cuiàs",0,1.11.1100.1,1
1.11.1,1.11.H2134,1.11.10424512,"Can Cuiàs",0,1.11.1100.1,1
1.3.1,1.3.H2344,1.3.10412500,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412502,"Zona Universitària",1,1.3.300.2,1
